02 (1);-30.677887, -69.051641
02 (1)(3);-30.679591, -69.054153
02 (1)(4);-30.679629, -69.054213
02 (1)(1);-30.696549, -69.090895
02 (1)(2);-30.699914, -69.105384
02 (1)(5);-30.680887, -69.057920
02 (1)(6);-30.697632, -69.085659
02 (1)(7);-30.696532, -69.105980
02 (1)(8);-30.718091, -69.108358
02 (1)(9);-30.718091, -69.108358
02 (1)(10);-30.727822, -69.121204
02 (1)(11);-30.722894, -69.112686
02 (1)(12);-30.725987, -69.114496
02 (1)(13);-30.728670, -69.118064
02 (1)(14);-30.736524, -69.143218
02 (1)(15);-30.737649, -69.147292
02 (1)(17);-30.793674, -69.205474
02 (1)(18);-30.809695, -69.209121
02 (1)(19);-30.814445, -69.210365
02 (1)(20);-30.850144, -69.216537
02 (1)(21);-30.898880, -69.259866
02 (1)(22);-30.902925, -69.261567
02 (1)(23);-30.927589, -69.276144
02 (1)(24);-30.915064, -69.305287
02 (1)(25);-30.913998, -69.317285
02 (1)(26);-30.914718, -69.329186
02 (1)(27);-30.911377, -69.332378
02 (1)(28);-30.889674, -69.378432
02 (1)(29);-30.727355, -69.115604
02 (1)(30);-30.880475, -69.413034
02 (1)(31);-30.878655, -69.420104
